taxon,classification
Chaetodipus_pernix,Rodentia
Chaetodipus_spinatus,Rodentia
Cricetulus_barabensis,Rodentia
Cricetulus_longicaudatus,Rodentia
Cricetulus_migratorius,Rodentia
Cricetus_cricetus,Rodentia
Crocidura_allex,Eulipotyphla
Crocidura_attenuata,Eulipotyphla
Crocidura_batesi,Eulipotyphla
Crocidura_beatus,Eulipotyphla
Crocidura_bottegi,Eulipotyphla
Crocidura_buettikoferi,Eulipotyphla
Crocidura_canariensis,Eulipotyphla
Crocidura_crossei,Eulipotyphla
Crocidura_cyanea,Eulipotyphla
Crocidura_dolichura,Eulipotyphla
Crocidura_douceti,Eulipotyphla
Crocidura_dsinezumi,Eulipotyphla
Crocidura_eisentrauti,Eulipotyphla
Crocidura_elgonius,Eulipotyphla
Crocidura_flavescens,Eulipotyphla
Crocidura_foxi,Eulipotyphla
Crocidura_fuliginosa,Eulipotyphla
Crocidura_fulvastra,Eulipotyphla
Crocidura_fumosa,Eulipotyphla
Crocidura_fuscomurina,Eulipotyphla
Crocidura_goliath,Eulipotyphla
Crocidura_gracilipes,Eulipotyphla
Crocidura_grandiceps,Eulipotyphla
Crocidura_grayi,Eulipotyphla
Crocidura_hildegardeae,Eulipotyphla
Crocidura_hirta,Eulipotyphla
Crocidura_pasha,Eulipotyphla
Crocidura_planiceps,Eulipotyphla
Crocidura_poensis,Eulipotyphla
Crocidura_raineyi,Eulipotyphla
Crocidura_religiosa,Eulipotyphla
Crocidura_russula,Eulipotyphla
Crocidura_silacea,Eulipotyphla
Crocidura_somalica,Eulipotyphla
Crocidura_suaveolens,Eulipotyphla
Eptesicus_matroka,Chiroptera
Eptesicus_nasutus,Chiroptera
Eptesicus_nilssonii,Chiroptera
Eptesicus_pachyotis,Chiroptera
Equus_kiang,Perissodactyla
Equus_quagga,Perissodactyla
Equus_zebra,Perissodactyla
Eremitalpa_granti,Afrotheria
Eremodipus_lichtensteini,Rodentia
Erethizon_dorsatum,Rodentia
Erignathus_barbatus,Carnivora
Erinaceus_concolor,Eulipotyphla
Erinaceus_europaeus,Eulipotyphla
Erophylla_bombifrons,Chiroptera
Erophylla_sezekorni,Chiroptera
Erythrocebus_patas,Primates
Eptesicus_serotinus,Chiroptera
Equus_asinus,Perissodactyla
Equus_burchellii,Perissodactyla
Equus_caballus,Perissodactyla
Equus_grevyi,Perissodactyla
Equus_hemionus,Perissodactyla
Genetta_cristata,Carnivora
Genetta_genetta,Carnivora
Genetta_johnstoni,Carnivora
Genetta_maculata,Carnivora
Genetta_piscivora,Carnivora
Delomys_dorsalis,Rodentia
Delomys_sublineatus,Rodentia
Delphinapterus_leucas,Cetacea
Delphinus_delphis,Cetacea
Deltamys_kempi,Rodentia
Dendrogale_melanura,other Euarchonta
Dendrogale_murina,other Euarchonta
Dendrohyrax_arboreus,Afrotheria
Dendrohyrax_dorsalis,Afrotheria
Dendrolagus_bennettianus,Diprotodontia
Dendrolagus_dorianus,Diprotodontia
Dendrolagus_goodfellowi,Diprotodontia
Bibimys_torresi,Rodentia
Bison_bison,Artiodactyla
Bison_bonasus,Artiodactyla
Blanfordimys_afghanus,Rodentia
Blarina_brevicauda,Eulipotyphla
Blarina_carolinensis,Eulipotyphla
Blarina_hylophaga,Eulipotyphla
Baiomys_musculus,Rodentia
Baiomys_taylori,Rodentia
Balaena_mysticetus,Cetacea
Balaenoptera_acutorostrata,Cetacea
Balaenoptera_borealis,Cetacea
Balaenoptera_edeni,Cetacea
Blarinella_quadraticauda,Eulipotyphla
Blarinomys_breviceps,Rodentia
Blastocerus_dichotomus,Artiodactyla
Brachylagus_idahoensis,Lagomorpha
Brachyphylla_cavernarum,Chiroptera
Brachyphylla_nana,Chiroptera
Brachytarsomys_albicauda,Rodentia
Brachytarsomys_villosa,Rodentia
Brachyteles_arachnoides,Primates
Brachyuromys_betsileoensis,Rodentia
Brachyuromys_ramirohitra,Rodentia
Crocidura_olivieri,Eulipotyphla
Cephalophus_dorsalis,Artiodactyla
Cephalophus_jentinki,Artiodactyla
Cephalophus_leucogaster,Artiodactyla
Cephalophus_natalensis,Artiodactyla
Chaetomys_subspinosus,Rodentia
Chaetophractus_nationi,Xenarthra
Chaetophractus_vellerosus,Xenarthra
Chaetophractus_villosus,Xenarthra
Chalinolobus_dwyeri,Chiroptera
Chalinolobus_gouldii,Chiroptera
Chalinolobus_morio,Chiroptera
Dendrolagus_inustus,Diprotodontia
Dendrolagus_lumholtzi,Diprotodontia
Dendrolagus_matschiei,Diprotodontia
Dendrolagus_mbaiso,Diprotodontia
Dendrolagus_scottae,Diprotodontia
Dendrolagus_spadix,Diprotodontia
Dendrolagus_ursinus,Diprotodontia
Dendromus_kahuziensis,Rodentia
Dendromus_lovati,Rodentia
Dendromus_melanotis,Rodentia
Dendromus_mesomelas,Rodentia
Dendromus_messorius,Rodentia
Dendromus_mystacalis,Rodentia
Dendromus_nyikae,Rodentia
Deomys_ferrugineus,Rodentia
Dephomys_defua,Rodentia
Dephomys_eburneae,Rodentia
Desmana_moschata,Eulipotyphla
Desmodilliscus_braueri,Rodentia
Desmodillus_auricularis,Rodentia
Desmodus_rotundus,Chiroptera
Desmomys_harringtoni,Rodentia
Diaemus_youngi,Chiroptera
Dicerorhinus_sumatrensis,Perissodactyla
Diceros_bicornis,Perissodactyla
Diclidurus_albus,Chiroptera
Diclidurus_ingens,Chiroptera
Diclidurus_isabellus,Chiroptera
Diclidurus_scutatus,Chiroptera
Dicrostonyx_groenlandicus,Rodentia
Dicrostonyx_hudsonius,Rodentia
Dicrostonyx_torquatus,Rodentia
Dicrostonyx_unalascensis,Rodentia
Didelphis_albiventris,Ameridelphia
Didelphis_aurita,Ameridelphia
Didelphis_marsupialis,Ameridelphia
Didelphis_virginiana,Ameridelphia
Dinaromys_bogdanovi,Rodentia
Dinomys_branickii,Rodentia
Diphylla_ecaudata,Chiroptera
Diplomesodon_pulchellum,Eulipotyphla
Diplomys_caniceps,Rodentia
Diplomys_labilis,Rodentia
Diplomys_rufodorsalis,Rodentia
Dipodillus_campestris,Rodentia
Dipodillus_dasyurus,Rodentia
Elephantulus_fuscus,Afrotheria
Elephantulus_intufi,Afrotheria
Elephantulus_myurus,Afrotheria
Elephantulus_revoili,Afrotheria
Elephantulus_rozeti,Afrotheria
Elephantulus_rufescens,Afrotheria
Elephantulus_rupestris,Afrotheria
Elephas_maximus,Afrotheria
Eligmodontia_moreni,Rodentia
Eligmodontia_morgani,Rodentia
Eligmodontia_puerulus,Rodentia
Eligmodontia_typus,Rodentia
Eliomys_melanurus,Rodentia
Eliomys_quercinus,Rodentia
Eliurus_ellermani,Rodentia
Eliurus_majori,Rodentia
Eliurus_minor,Rodentia
Eliurus_myoxinus,Rodentia
Eliurus_penicillatus,Rodentia
Eliurus_petteri,Rodentia
Eliurus_tanala,Rodentia
Eliurus_webbi,Rodentia
Ellobius_fuscocapillus,Rodentia
Ellobius_lutescens,Rodentia
Ellobius_talpinus,Rodentia
Emballonura_alecto,Chiroptera
Emballonura_atrata,Chiroptera
Emballonura_beccarii,Chiroptera
Emballonura_monticola,Chiroptera
Emballonura_raffrayana,Chiroptera
Emballonura_semicaudata,Chiroptera
Enchisthenes_hartii,Chiroptera
Hesperoptenus_tickelli,Chiroptera
Heterocephalus_glaber,Rodentia
Heterohyrax_brucei,Afrotheria
Heteromys_anomalus,Rodentia
Heteromys_australis,Rodentia
Heteromys_desmarestianus,Rodentia
Lagostomus_maximus,Rodentia
Lagostrophus_fasciatus,Diprotodontia
Lagothrix_lagotricha,Primates
Lagurus_lagurus,Rodentia
Lama_glama,Artiodactyla
Eudorcas_rufina,Artiodactyla
Eudorcas_thomsonii,Artiodactyla
Eulemur_albocollaris,Primates
Eulemur_coronatus,Primates
Eulemur_fulvus,Primates
Eulemur_macaco,Primates
Eulemur_mongoz,Primates
Eulemur_rubriventer,Primates
Eulemur_rufus,Primates
Eulemur_sanfordi,Primates
Eumetopias_jubatus,Carnivora
Galago_thomasi,Primates
Galago_zanzibaricus,Primates
Galea_flavidens,Rodentia
Galea_musteloides,Rodentia
Galea_spixii,Rodentia
Galemys_pyrenaicus,Eulipotyphla
Galenomys_garleppi,Rodentia
Galeopterus_variegates,other Euarchonta
Galerella_flavescens,Carnivora
Galerella_pulverulenta,Carnivora
Galerella_sanguinea,Carnivora
Galictis_cuja,Carnivora
Galidia_elegans,Carnivora
Galidictis_fasciata,Carnivora
Galidictis_grandidieri,Carnivora
Gazella_arabica,Artiodactyla
Gazella_bennettii,Artiodactyla
Gazella_dorcas,Artiodactyla
Gazella_gazella,Artiodactyla
Gazella_leptoceros,Artiodactyla
Gazella_saudiya,Artiodactyla
Gazella_spekei,Artiodactyla
Gazella_subgutturosa,Artiodactyla
Genetta_abyssinica,Carnivora
Genetta_angolensis,Carnivora
Gerbillus_gerbillus,Rodentia
Gerbillus_gleadowi,Rodentia
Bandicota_savilei,Rodentia
Barbastella_barbastellus,Chiroptera
Barbastella_leucomelas,Chiroptera
Bassaricyon_beddardi,Carnivora
Bassaricyon_gabbii,Carnivora
Bassaricyon_lasius,Carnivora
Bassaricyon_pauli,Carnivora
Bassariscus_astutus,Carnivora
Bassariscus_sumichrasti,Carnivora
Bathyergus_janetta,Rodentia
Bathyergus_suillus,Rodentia
Batomys_granti,Rodentia
Batomys_salomonseni,Rodentia
Bauerus_dubiaquercus,Chiroptera
Bdeogale_crassicauda,Carnivora
Bdeogale_jacksoni,Carnivora
Bdeogale_nigripes,Carnivora
Beamys_hindei,Rodentia
Beamys_major,Rodentia
Beatragus_hunteri,Artiodactyla
Berardius_arnuxii,Cetacea
Berardius_bairdii,Cetacea
Berylmys_bowersi,Rodentia
Bettongia_gaimardi,Diprotodontia
Bettongia_lesueur,Diprotodontia
Bettongia_penicillata,Diprotodontia
Bettongia_tropica,Diprotodontia
Bibimys_chacoensis,Rodentia
Bradypus_torquatus,Xenarthra
Bradypus_tridactylus,Xenarthra
Bradypus_variegatus,Xenarthra
Brucepattersonius_iheringi,Rodentia
Bubalus_bubalis,Artiodactyla
Bubalus_depressicornis,Artiodactyla
Bubalus_mindorensis,Artiodactyla
Bubalus_quarlesi,Artiodactyla
Budorcas_taxicolor,Artiodactyla
Bullimus_bagobus,Rodentia
Bunolagus_monticularis,Lagomorpha
Bunomys_chrysocomus,Rodentia
Bunomys_fratrorum,Rodentia
Bunopithecus_hoolock,Primates
Cheiromeles_torquatus,Chiroptera
Chelemys_macronyx,Rodentia
Chelemys_megalonyx,Rodentia
Chibchanomys_trichotis,Rodentia
Chilomys_instans,Rodentia
Chilonatalus_tumidifrons,Chiroptera
Chimarrogale_hantu,Eulipotyphla
Chimarrogale_himalayica,Eulipotyphla
Chimarrogale_platycephalus,Eulipotyphla
Chinchilla_chinchilla,Rodentia
Chinchilla_lanigera,Rodentia
Chinchillula_sahamae,Rodentia
Chionomys_gud,Rodentia
Chionomys_nivalis,Rodentia
Chionomys_roberti,Rodentia
Chiroderma_doriae,Chiroptera
Chiroderma_improvisum,Chiroptera
Chiroderma_salvini,Chiroptera
Chiroderma_trinitatum,Chiroptera
Chiroderma_villosum,Chiroptera
Chironax_melanocephalus,Chiroptera
Chironectes_minimus,Ameridelphia
Chiropodomys_calamianensis,Rodentia
Chiropodomys_gliroides,Rodentia
Chiropodomys_major,Rodentia
Chiropodomys_muroides,Rodentia
Chiropodomys_pusillus,Rodentia
Chiropotes_albinasus,Primates
Chiropotes_satanas,Primates
Chiruromys_forbesi,Rodentia
Chiruromys_lamia,Rodentia
Chiruromys_vates,Rodentia
Chlamyphorus_truncatus,Xenarthra
Chlorocebus_aethiops,Primates
Chlorotalpa_duthieae,Afrotheria
Burramys_parvus,Diprotodontia
Cabassous_centralis,Xenarthra
Cabassous_chacoensis,Xenarthra
Cabassous_tatouay,Xenarthra
Cabassous_unicinctus,Xenarthra
Cacajao_calvus,Primates
Cacajao_melanocephalus,Primates
Caenolestes_caniventer,Ameridelphia
Caenolestes_condorensis,Ameridelphia
Caenolestes_convelatus,Ameridelphia
Caenolestes_fuliginosus,Ameridelphia
Calcochloris_obtusirostris,Afrotheria
Callicebus_brunneus,Primates
Callicebus_caligatus,Primates
Callicebus_cinerascens,Primates
Capra_nubiana,Artiodactyla
Capra_pyrenaica,Artiodactyla
Capra_sibirica,Artiodactyla
Capra_walie,Artiodactyla
Capreolus_capreolus,Artiodactyla
Capreolus_pygargus,Artiodactyla
Capricornis_crispus,Artiodactyla
Capricornis_sumatraensis,Artiodactyla
Caprolagus_hispidus,Lagomorpha
Capromys_pilorides,Rodentia
Caracal_caracal,Carnivora
Cardiocranius_paradoxus,Rodentia
Cardioderma_cor,Chiroptera
Carollia_brevicauda,Chiroptera
Carollia_castanea,Chiroptera
Carollia_perspicillata,Chiroptera
Carollia_subrufa,Chiroptera
Carpitalpa_arendsi,Afrotheria
Carterodon_sulcidens,Rodentia
Caryomys_inez,Rodentia
Casinycteris_argynnis,Chiroptera
Castor_canadensis,Rodentia
Castor_fiber,Rodentia
Catagonus_wagneri,Artiodactyla
Catopuma_badia,Carnivora
Catopuma_temminckii,Carnivora
Cavia_aperea,Rodentia
Cavia_fulgida,Rodentia
Cavia_magna,Rodentia
Cavia_porcellus,Rodentia
Cavia_tschudii,Rodentia
Cebus_albifrons,Primates
Cebus_apella,Primates
Cebus_capucinus,Primates
Cebus_kaapori,Primates
Cebus_nigritus,Primates
Cebus_olivaceus,Primates
Centronycteris_maximiliani,Chiroptera
Centurio_senex,Chiroptera
Cephalophus_adersi,Artiodactyla
Cephalophus_callipygus,Artiodactyla
Crocidura_horsfieldii,Eulipotyphla
Crocidura_jacksoni,Eulipotyphla
Crocidura_jouvenetae,Eulipotyphla
Crocidura_kivuana,Eulipotyphla
Crocidura_lanosa,Eulipotyphla
Crocidura_leucodon,Eulipotyphla
Crocidura_littoralis,Eulipotyphla
Crocidura_longipes,Eulipotyphla
Crocidura_ludia,Eulipotyphla
Crocidura_luna,Eulipotyphla
Crocidura_lusitania,Eulipotyphla
Crocidura_maquassiensis,Eulipotyphla
Crocidura_mariquensis,Eulipotyphla
Crocidura_maurisca,Eulipotyphla
Crocidura_monax,Eulipotyphla
Crocidura_montis,Eulipotyphla
Crocidura_mutesae,Eulipotyphla
Crocidura_nanilla,Eulipotyphla
Crocidura_negrina,Eulipotyphla
Crocidura_nicobarica,Eulipotyphla
Crocidura_nigeriae,Eulipotyphla
Crocidura_nigricans,Eulipotyphla
Crocidura_nigrofusca,Eulipotyphla
Crocidura_niobe,Eulipotyphla
Chalinolobus_nigrogriseus,Chiroptera
Chalinolobus_picatus,Chiroptera
Chalinolobus_tuberculatus,Chiroptera
Cheirogaleus_major,Primates
Cheirogaleus_medius,Primates
Chlorotalpa_sclateri,Afrotheria
Chodsigoa_salenskii,Eulipotyphla
Choeroniscus_godmani,Chiroptera
Choeroniscus_minor,Chiroptera
Choeronycteris_mexicana,Chiroptera
Choloepus_didactylus,Xenarthra
Choloepus_hoffmanni,Xenarthra
Chrotogale_owstoni,Carnivora
Chrotomys_gonzalesi,Rodentia
Chrotomys_mindorensis,Rodentia
Chrotomys_whiteheadi,Rodentia
Chrotopterus_auritus,Chiroptera
Chrysochloris_asiatica,Afrotheria
Chrysochloris_stuhlmanni,Afrotheria
Chrysocyon_brachyurus,Carnivora
Chrysospalax_trevelyani,Afrotheria
Chrysospalax_villosus,Afrotheria
Civettictis_civetta,Carnivora
Cloeotis_percivali,Chiroptera
Clyomys_bishopi,Rodentia
Clyomys_laticeps,Rodentia
Coccymys_albidens,Rodentia
Coccymys_ruemmleri,Rodentia
Coelops_frithii,Chiroptera
Coelops_robinsoni,Chiroptera
Coendou_bicolor,Rodentia
Coendou_nycthemera,Rodentia
Coendou_prehensilis,Rodentia
Coendou_rothschildi,Rodentia
Coleura_afra,Chiroptera
Coleura_seychellensis,Chiroptera
Colobus_angolensis,Primates
Colobus_guereza,Primates
Colobus_polykomos,Primates
Colobus_satanas,Primates
Colobus_vellerosus,Primates
Colomys_goslingi,Rodentia
Condylura_cristata,Eulipotyphla
Conepatus_humboldtii,Carnivora
Conepatus_leuconotus,Carnivora
Conepatus_semistriatus,Carnivora
Conilurus_albipes,Rodentia
Conilurus_penicillatus,Rodentia
Connochaetes_gnou,Artiodactyla
Dasyprocta_azarae,Rodentia
Dasyprocta_coibae,Rodentia
Dasyprocta_cristata,Rodentia
Dasyprocta_fuliginosa,Rodentia
Dasyprocta_guamara,Rodentia
Dasyprocta_kalinowskii,Rodentia
Dasyprocta_leporina,Rodentia
Dasyprocta_mexicana,Rodentia
Dasyprocta_prymnolopha,Rodentia
Dasyprocta_punctata,Rodentia
Dasyprocta_ruatanica,Rodentia
Dasypus_hybridus,Xenarthra
Dasypus_kappleri,Xenarthra
Dasypus_novemcinctus,Xenarthra
Dasypus_pilosus,Xenarthra
Dasypus_sabanicola,Xenarthra
Eumops_perotis,Chiroptera
Eumops_underwoodi,Chiroptera
Euneomys_chinchilloides,Rodentia
Euneomys_fossor,Rodentia
Euneomys_mordax,Rodentia
Euneomys_petersoni,Rodentia
Euoticus_elegantulus,Primates
Euoticus_pallidus,Primates
Euphractus_sexcinctus,Xenarthra
Eupleres_goudotii,Carnivora
Euroscaptor_klossi,Eulipotyphla
Euroscaptor_micrura,Eulipotyphla
Euroscaptor_mizura,Eulipotyphla
Euryzygomatomys_spinosus,Rodentia
Exilisciurus_concinnus,Rodentia
Connochaetes_taurinus,Artiodactyla
Cormura_brevirostris,Chiroptera
Corynorhinus_rafinesquii,Chiroptera
Corynorhinus_townsendii,Chiroptera
Craseonycteris_thonglongyai,Chiroptera
Cratogeomys_castanops,Rodentia
Cratogeomys_fumosus,Rodentia
Cratogeomys_gymnurus,Rodentia
Cratogeomys_merriami,Rodentia
Cratogeomys_neglectus,Rodentia
Cratogeomys_tylorhinus,Rodentia
Cratogeomys_zinseri,Rodentia
Cremnomys_cutchicus,Rodentia
Cricetomys_emini,Rodentia
Cricetomys_gambianus,Rodentia
Crocidura_tarfayensis,Eulipotyphla
Crocidura_theresae,Eulipotyphla
Crocidura_turba,Eulipotyphla
Crocidura_ultima,Eulipotyphla
Crocidura_usambarae,Eulipotyphla
Crocidura_viaria,Eulipotyphla
Crocidura_whitakeri,Eulipotyphla
Crocidura_wimmeri,Eulipotyphla
Crocidura_yankariensis,Eulipotyphla
Crocidura_zarudnyi,Eulipotyphla
Crocidura_zimmeri,Eulipotyphla
Crocuta_crocuta,Carnivora
Crossarchus_alexandri,Carnivora
Crossarchus_ansorgei,Carnivora
Crossarchus_obscurus,Carnivora
Crossomys_moncktoni,Rodentia
Crunomys_melanius,Rodentia
Cryptomys_amatus,Rodentia
Cryptomys_anselli,Rodentia
Cryptomys_bocagei,Rodentia
Cryptomys_damarensis,Rodentia
Cryptomys_darlingi,Rodentia
Cryptomys_hottentotus,Rodentia
Cryptomys_mechowi,Rodentia
Cryptomys_ochraceocinereus,Rodentia
Cryptoprocta_ferox,Carnivora
Cryptotis_goldmani,Eulipotyphla
Cryptotis_goodwini,Eulipotyphla
Cryptotis_magna,Eulipotyphla
Cryptotis_meridensis,Eulipotyphla
Cryptotis_mexicana,Eulipotyphla
Cryptotis_montivaga,Eulipotyphla
Cryptotis_nigrescens,Eulipotyphla
Cryptotis_parva,Eulipotyphla
Cryptotis_squamipes,Eulipotyphla
Cryptotis_thomasi,Eulipotyphla
Ctenodactylus_gundi,Rodentia
Ctenodactylus_vali,Rodentia
Ctenomys_argentinus,Rodentia
Ctenomys_australis,Rodentia
Ctenomys_azarae,Rodentia
Ctenomys_boliviensis,Rodentia
Ctenomys_bonettoi,Rodentia
Ctenomys_colburni,Rodentia
Ctenomys_conoveri,Rodentia
Ctenomys_dorsalis,Rodentia
Ctenomys_emilianus,Rodentia
Ctenomys_frater,Rodentia
Ctenomys_fulvus,Rodentia
Ctenomys_haigi,Rodentia
Ctenomys_knighti,Rodentia
Ctenomys_latro,Rodentia
Ctenomys_leucodon,Rodentia
Ctenomys_lewisi,Rodentia
Ctenomys_magellanicus,Rodentia
Ctenomys_maulinus,Rodentia
Ctenomys_mendocinus,Rodentia
Ctenomys_minutus,Rodentia
Ctenomys_occultus,Rodentia
Ctenomys_opimus,Rodentia
Ctenomys_pearsoni,Rodentia
Ctenomys_perrensi,Rodentia
Ctenomys_peruanus,Rodentia
Ctenomys_pontifex,Rodentia
Ctenomys_porteousi,Rodentia
Ctenomys_saltarius,Rodentia
Ctenomys_sericeus,Rodentia
Ctenomys_sociabilis,Rodentia
Ctenomys_steinbachi,Rodentia
Ctenomys_talarum,Rodentia
Ctenomys_torquatus,Rodentia
Ctenomys_tuconax,Rodentia
Ctenomys_tucumanus,Rodentia
Ctenomys_validus,Rodentia
Cuniculus_paca,Rodentia
Cuniculus_taczanowskii,Rodentia
Cuon_alpinus,Carnivora
Cyclopes_didactylus,Xenarthra
Cynictis_penicillata,Carnivora
Cynocephalus_volans,other Euarchonta
Cynogale_bennettii,Carnivora
Cynomops_abrasus,Chiroptera
Cynomops_greenhalli,Chiroptera
Cynomops_paranus,Chiroptera
Cynomops_planirostris,Chiroptera
Cynomys_gunnisoni,Rodentia
Cynomys_leucurus,Rodentia
Cynomys_ludovicianus,Rodentia
Cynomys_mexicanus,Rodentia
Cynomys_parvidens,Rodentia
Cynopterus_brachyotis,Chiroptera
Cynopterus_horsfieldii,Chiroptera
Cynopterus_minutus,Chiroptera
Cynopterus_sphinx,Chiroptera
Cynopterus_titthaecheilus,Chiroptera
Cystophora_cristata,Carnivora
Cyttarops_alecto,Chiroptera
Dactylomys_boliviensis,Rodentia
Dactylomys_dactylinus,Rodentia
Dactylomys_peruanus,Rodentia
Dactylopsila_megalura,Diprotodontia
Dactylopsila_palpator,Diprotodontia
Dactylopsila_tatei,Diprotodontia
Dactylopsila_trivirgata,Diprotodontia
Dama_dama,Artiodactyla
Damaliscus_korrigum,Artiodactyla
Damaliscus_lunatus,Artiodactyla
Damaliscus_pygargus,Artiodactyla
